Index,Title,Company,Date,Location,Job Category
235,Human Resources Manager,SOW Real Est,25-Feb-26,Rivers,Customer Service
236,Maintenance Engineer – Lifting & Rot,ing Equipment,25-Feb-26,Rivers,Engineer
237,Maintenance Engineer – Portable Equipment & Power Systems,Oilserv Limited,25-Feb-26,Rivers,Management
238,Corpor,e Secretari,25-Feb-26,Rivers,Management
239,Talent Recruitment Manager,Proten,25-Feb-26,Rivers,Management
240,Chartered Accountant,Proten,25-Feb-26,Rivers,Finance
241,Sales Executive,Mshel Homes Ltd,25-Feb-26,Rivers,Finance
242,Welding Inspectors,Jimcol Resources Nigeria Limited,25-Feb-26,Rivers,Operations
243,Painting Inspectors,Jimcol Resources Nigeria Limited,25-Feb-26,Rivers,Operations
244,API Inspectors,Jimcol Resources Nigeria Limited,25-Feb-26,Rivers,Operations
245,Radi,ion Safety Officer,25-Feb-26,Rivers,Operations
246,Radiographers,Jimcol Resources Nigeria Limited,25-Feb-26,Rivers,Medical
247,Structural Engineers,Jimcol Resources Nigeria Limited,25-Feb-26,Rivers,Engineer
248,ACFM Inspectors,Jimcol Resources Nigeria Limited,25-Feb-26,Rivers,Management
249,Structural Inspectors,Jimcol Resources Nigeria Limited,25-Feb-26,Rivers,Operations
250,C,hodic Protection (CP) Inspectors,25-Feb-26,Rivers,Management
251,Sales Manager,BLUETTI,25-Feb-26,Rivers,Management
252,Offshore Construction Supervisor,Intern,25-Feb-26,Rivers,Management
253,Electrical Project/Maintenance Engineer,Basscomm Group Limited,25-Feb-26,Rivers,Engineer
254,Production Support Officer - Port Harcourt,Food Concepts Plc,24-Feb-26,Rivers,Operations
255,Business Development Officer,HiiT Plc,24-Feb-26,Rivers,Finance
256,Instrument,ion Design Engineer,24-Feb-26,Rivers,Engineer
257,Technical Trainee:Control and Autom,ion - Port Harcourt,24-Feb-26,Rivers,Operations
258,Product Support Sales Represent,ive,24-Feb-26,Rivers,Operations
259,Subcontract Administr,or,24-Feb-26,Rivers,Operations
260,Store and Inventory Officer,Excel and Grace Consulting,24-Feb-26,Rivers,Finance
261,Personal Driver,Odixcity Consulting,23-Feb-26,Rivers,Operations
262,Rental Manager,Jocaro Nigeria Limited,23-Feb-26,Rivers,Management
263,Marketing Executive (St,e Represent,23-Feb-26,Rivers,Management
264,Loan Sales and Marketing Officers,Motion Yield Nigeria Limited,23-Feb-26,Rivers,Finance
265,Forklift Oper,or,23-Feb-26,Rivers,Operations
266,Internal Audit & Controls Intern,DRYVA Logistics,23-Feb-26,Rivers,Finance
267,Warehouse Oper,ions / D,23-Feb-26,Rivers,Operations
268,Pipeline Welder Facilit,or,23-Feb-26,Rivers,Operations
